y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
1.4987e+02   2.6254e-01   0.0000e+00   1.6848e-04   8.1335e-04   5.7273e-05   2.3376e-04   2.4310e-03   9.0884e-01   1.1990e-03   1.1763e+00   
1.6816e+02   2.0104e-01   0.0000e+00   1.4677e-04   8.5414e-04   6.6325e-05   2.4238e-04   1.9904e-03   6.9910e-01   1.0955e-03   9.0454e-01   
1.8868e+02   1.3825e-01   0.0000e+00   1.1685e-04   7.1458e-04   5.9447e-05   2.0513e-04   1.6857e-03   4.8429e-01   1.0310e-03   6.2635e-01   
2.1170e+02   9.3965e-02   0.0000e+00   9.9862e-05   6.7079e-04   5.8746e-05   2.0967e-04   1.4101e-03   3.3376e-01   9.2248e-04   4.3109e-01   
2.3753e+02   6.5108e-02   0.0000e+00   8.1499e-05   5.4495e-04   5.9335e-05   2.0408e-04   1.2180e-03   2.3572e-01   7.6607e-04   3.0370e-01   
2.6651e+02   4.6791e-02   0.0000e+00   7.1337e-05   5.1430e-04   5.9305e-05   1.9849e-04   1.1213e-03   1.7187e-01   7.7423e-04   2.2140e-01   
2.9903e+02   3.5635e-02   0.0000e+00   7.1725e-05   5.0130e-04   5.4433e-05   2.0232e-04   8.7606e-04   1.3230e-01   7.8470e-04   1.7042e-01   
3.3552e+02   2.8307e-02   0.0000e+00   5.1740e-05   4.7036e-04   6.5632e-05   1.7753e-04   9.2382e-04   1.0554e-01   7.0608e-04   1.3624e-01   
3.7646e+02   2.3234e-02   0.0000e+00   5.2822e-05   3.0201e-04   3.8481e-05   1.7008e-04   8.9783e-04   8.7473e-02   8.2036e-04   1.1299e-01   
4.2240e+02   1.9222e-02   0.0000e+00   4.5018e-05   2.2306e-04   5.9740e-05   1.2091e-04   8.0363e-04   7.4336e-02   7.3957e-04   9.5550e-02   
4.7394e+02   1.6635e-02   0.0000e+00   4.7957e-05   2.0161e-04   4.9055e-05   1.9426e-04   7.9819e-04   6.6212e-02   9.4521e-04   8.5083e-02   
